formula,capacity
Li2B4O7,317.00042047724173
Li2B4O7,317.00042047724173
Li2.1632Mn3.8368O7.972,164.09905007996915
Li3.5668Ti3.3332O8,306.14431257682446
LiFeAs,194.65644851427712
Li0.14Ti2O4,23.351879323295385
Li1.06Ti2O4,170.05099568191167
Li0.85Ti1O2,265.66147683490226
Li2H0.9996N1,1855.2100190944288
Li8H4.00032N4,1855.1789573492972
Li16.016H8N8,1856.1477919188312
LiTiO2,308.79486165350215
LiTaO3,113.63582837574954
LiNbO3,181.30727618978906
Li3.4Fe6.0O8,187.27194603462928
Li3.4Fe6O8,187.27194603462928
Li2Fe3O4,218.45083271646442
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
Li1.9Nb2.02O6,171.5664664604373
LiCoO2,273.8893997706708
Li0.5Co0.5O1,273.8893997706708
Li0.5Co0.5O1,273.8893997706708
Li0.5Co0.5O1,273.8893997706708
Li0.25Co0.75O1,108.20472108971686
Li0.375Co0.625O1,181.33507715666602
LiCoO2,273.8893997706708
LiNiO2,274.55425476586356
LiNbO3,181.30727618978906
Li1.66Mn3.52O8,133.66173786192218
LiMn3O4,113.69848810466388
Li4.04Mn4O8,288.1722619954051
LiNbF6,125.34981040354066
LiRuF6,120.7403069931785
LiRhF6,119.7478470205743
LiTaF6,88.79245935789712
LiOsF6,86.1444083798424
LiIrF6,85.59699692028214
LiPtF6,84.82233895182442
LiAuF6,84.31806346310451
Li2RuF6,234.16078231540126
Li2RhF6,232.29390836306217
Li2PdF6,228.8139612083274
LiOsF6,86.1444083798424
LiOsF6,86.1444083798424
Li2PtF6,165.99922935072797
LiAuS,113.59730285864964
LiMoO2,198.72159207914268
LiMoO2,198.72159207914268
LiClO4,251.95559315307415
Li2MnO3,458.92065666076974
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
Li2.06Mn3.94O8,153.91750597737888
Li0.9V6O15,43.7137379821195
Li2VCl4,259.4671915163639
Li2.668Mn3.332O8,216.99766433909699
Li2MnO3,458.92065666076974
LiNbO3,181.30727618978906
Li1.908Nb2.0258O6,171.94457865800132
Li2MgSi,808.9800982512618
LiCrO2,294.76089240769255
LiMgN,592.3225180765785
LiMgN,592.3225180765785
LiMgN,592.3225180765785
LiMgN,592.3225180765785
Li1.92Mg22.08N14.7,68.08424773035605
Li3.84Mg20.16N14.52,142.95033568331095
Li1.92Mg22.08N14.7,68.08424773035605
Li1.92Mg22.08N14.7,68.08424773035605
Li1.92Mg22.08N14.7,68.08424773035605
Li1.108Mg0.892N0.96,693.6273780944791
Li1.04Mg0.96N0.98,629.5766003265068
Li1.108Mg0.892N0.96,693.6273780944791
Li1.096Mg0.904N0.96,682.7923518993151
Li4.36Mg3.64N3.88,675.2208550259709
Li2.68Ti3.32O8,235.13826857555233
Li0.578Nb0.2944O1,327.1258441745831
Li0.646Nb0.3167O1,346.97613599759836
Li0.71504Nb0.2796O1,408.3403404101519
Li1.5H1.5N1,1550.5295902102935
LiFeAs,194.65644851427712
LiNiO2,274.55425476586356
Li2.38Ti3.34O8,209.5883493181158
Li2.668Ti3.332O8,233.70971892237122
LiAlGe,251.5772459460869
LiAlGe,251.5772459460869
Li2BeH4,1991.186780335576
Li17(AgSn2)3,394.9338687389561
Li6Eu5Sn9,86.01494966565588
Li5Ca7Sn11,82.6785874624648
Li17.68Ca2Sn12.32,284.5753476365455
Li17.416Eu2Sn12.584,243.32188078526565
LiV2O4,155.10679062351323
Li2Y5In9,35.93743831981118
Li1.99Co0.53N1,903.3004911741989
Li5.52Ca42.48Sb36,24.160713736766194
LiBF4,285.9259259259259
Li0.94In1.06Ag2,73.2535311577608
LiInAg2,79.42386831275721
Li1In1.14Ag1.86,79.19555047390945
Li1In1.32Ag1.68,78.90392069902497
Ta19.432O50,0.0
LiZnGe,184.929669234602
Li8Zn2Ge3,530.5798165238501
Li2ZnGe,352.9601100211411
LiSn4Ir,39.770853939993415
Li3.2Ru4O12,138.68947785208087
SrLiSb,123.91621466140695
Li1.954Mn2.046O4,275.7204137304997
Li1.992Mn2.008O4,283.8074382742297
Li2.032Mn1.968O4,292.49124113373625
LiCoO2,273.8893997706708
Li0.68Co1O2,190.5690562783356
Li0.48Co1O2,136.5001365001365
Li0.35Co1O2,100.49319770396474
LiBH4,1230.628755649415
LiBH4,1230.628755649415
LiBH4,1230.628755649415
Li0.78Mn0.85O2,248.57670270583026
Li1.07Mn0.76O2,353.31206925388756
Li0.8Mn0.81O2,261.34742063637145
Li0.96Mn0.79O2,313.57257458518654
Li0.96Mn0.74O2,324.4324533313162
Li1.15N1,1401.7729475189344
LiH2N,1167.1843401356593
Li1.0154N1,1292.6115493633108
Li1.0792N1,1345.5362411308106
Li1.1432N1,1396.4810078137355
Li1.2072N1,1445.404364820723
Li1.2712N1,1492.424281355738
Li1.335N1,1537.5110813222252
Li1.399N1,1581.0479935639198
Li1.463N1,1622.9843447097605
Li1.527N1,1663.4068045169108
Li1.591N1,1702.395896175999
Li1.6548N1,1739.910978312862
Li1.1788N1,1423.9363324203257
Li1.2312N1,1463.253853062232
Li1.2834N1,1501.1806187915624
Li1.3356N1,1537.9269544514334
Li1.388N1,1573.6815015831985
Li1.4402N1,1608.2224707261307
Li1.4926N1,1641.8628883175536
Li1.5448N1,1674.3912324067232
Li1.597N1,1705.9803588952145
Li1.6494N1,1736.7862735704205
Li1.7016N1,1766.6117822420688
Li1.876Nb2.024O6,169.28237323063462
LiCO2,526.1149274888236
Li2MgPb,218.47753982970073
LiFeO2,282.80377227995524
LiFeO2,282.80377227995524
LiFeO2,282.80377227995524
Li2Ge7O15,70.32902322096723
Li2Ge7O15,70.32902322096723
Li2CuO2,489.9302826669267
Li0.498Mg17.502Cu6,16.478047490261595
Li0.414Mg11.586Cu6,16.669247978011583
Li0.498Mg17.502Cu6,16.478047490261595
Li0.54Mg11.46Cu6,21.814190119369957
Li0.486Mg17.514Cu6,16.076850789831525
Li0.54Mg17.46Cu6,17.883862751268275
Li0.54Mg11.46Cu6,21.814190119369957
Li0.99Ni1O2,272.00205814463595
LiTi4O8,82.12285101944671
LiTi2O4,160.82625697802632
Li3.2Ti4O8,251.05005261644885
Li3.6Ti4O8,280.1551449839165
Li2.6668Mn3.3332O8,216.86216318832655
Li2.6668Ti3.3332O8,233.56711611672006
LiBH4,1230.628755649415
Li2MgIr,232.68206467355793
Li6P2S7.82,453.9503369863869
Li3PS4,446.6748873360958
Li2RuO3,329.00344345572944
Li0.5Ga0.5O1,246.68521534980223
Li0.5Ga0.5O1,246.68521534980223
Li2B4O7,317.00042047724173
Li4.48Co3.52O8,327.6419191522345
Li4.6Co3.4O8,342.2435386208611
LiCoO2,273.8893997706708
LiNbO3,181.30727618978906
LiCoO2,273.8893997706708
Li0.61Co1O2,171.824345167248
LiCoO2,273.8893997706708
LiCoO2,273.8893997706708
LiCoO2,273.8893997706708
Li2.833Cu0.167N1,1714.8746129263393
Li2.711Cu0.289N1,1419.6345089782355
Li2.652Cu0.348N1,1303.6820654280232
LiMn2O4,148.24441740712066
Li2.66664Ti3.33332O8,233.54956690816095
Li2.66664Ti3.33336O8,233.54810586712304
Li2.66664Ti3.33336O8,233.54810586712304
Li2.66664Ti3.33336O8,233.54810586712304
Li2.66668Ti3.33332O8,233.5528583532603
Li2.6588Ti3.3332O8,232.90870027794045
Li2.66664Ti3.33332O8,233.54956690816095
Li2.28Ti3.4404O8,198.1060306271573
Li0.6667Ti0.3333O1,488.539924681462
Li2.28Ti3.44O8,198.11832648655414
Li0.66666Ti0.33333O1,488.4951445697552
Li2Ti6O13,105.30938259673512
Li1.848Mo12O34,28.998910089009033
Li1.848Mo12O34,28.998910089009033
LiMoO2,198.72159207914268
Li3.66Mo4O8,182.62892829814223
Li1.5Mo2O4,150.98319001664726
Li(YbGe)4,27.085620875407265
Li2.528Mn3.472O8,201.50238017830856
Li2.52Mn3.48O8,200.63561839135085
Li2.504Mn3.496O8,198.90801282304565
LiB2O3,350.12481133170786
Li1.47Mn3.536O8,118.5195937489711
Li1.222Mn4O7.76,92.95211600865497
Li1.62Mn3.56O8,129.69298973924614
Li2.98Mn2.78O8,265.01904207481647
Li3.12Mn2.78O8,276.5780602717498
Li0.96Mn3.76O8,75.41195244280024
Li1.1Mn4O7.032,86.74783943534716
Li2.144Mn3.856O8,162.0145889557946
Li2.074Mn3.852O8,157.03728334910696
Li2.6668Ti3.3332O8,233.56711611672006
LiBH4,1230.628755649415
LiBH4,1230.628755649415
LiBH4,1230.628755649415
LiBH4,1230.628755649415
Li2B2H9.99998,1176.1986578164997
Li8Hf3,362.8562995049737
Li4SiPt3,167.25117920747203
Li4SiPt3,167.25117920747203
Li2MnO3,458.92065666076974
Li0.959Ni1.041O2,257.696962611318
Li2Ti6O13,105.30938259673512
Li2MnO3,458.92065666076974
Li2MnO3,458.92065666076974
Li1.075V0.925O2,332.82481199147867
Li2S2O7,282.1637426900585
Li(CuO)2,161.44812780401102
Li0.056Eu2Ga3.944,2.5912671885158858
Li0.28Eu2Ga3.72,13.27869877102586
Li0.558Eu1Ga3.422,37.922327902517935
LiTiS2,225.39503691807207
